,media,mediana,moda,variancia,desvio_padrao,skewness,kurtosis
"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)",3.76,0.2,0.0,91.91,9.59,4.84,39.94
PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB),928.34,928.1,927.5,12.53,3.54,0.17,-0.12
TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C),15.95,16.2,19.5,12.2,3.49,-0.68,0.3
"TEMPERATURA MAXIMA, DIARIA (AUT)(°C)",25.56,25.8,27.8,24.86,4.99,-0.19,-0.63
"TEMPERATURA MEDIA, DIARIA (AUT)(°C)",19.56,19.7,21.8,12.34,3.51,-0.22,-0.28
"TEMPERATURA MINIMA, DIARIA (AUT)(°C)",16.28,16.5,18.9,10.34,3.22,-0.47,0.03
"UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)",82.07,83.9,100.0,120.07,10.96,-0.99,1.33
"UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%)",53.65,53.0,64.0,333.71,18.27,0.11,-0.47
"VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s)",8.86,8.7,9.0,4.65,2.16,1.68,8.82
"VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)",1.96,1.8,1.6,0.41,0.64,0.95,1.41
